This program will make the robot wander around. It uses some avoidance
actions if obstacles are detected, otherwise it just has a
constant forward velocity.

Press CTRL-C or Escape to exit.
Could not connect to simulator, connecting to robot through serial port /dev/ttyUSB0.
Syncing 0
Syncing 1
Syncing 2
Connected to robot.
Name: Minnesota_1861
Type: Pioneer
Subtype: p3dx
ArConfig: Config version: 2.0
Loaded robot parameters from /usr/local/Aria/params/p3dx.p
ArLaserConnector: There is a port given, but no port type given so using the robot parameters port type
ArLaserConnector: Set serial port to open /dev/ttyUSB1
laser: waiting for laser to power on.
laser: Connected to the laser.
Point: 251.087 -1471.66
Point: 223.141 -1459.66
Point: 195.076 -1442.17
Point: 168.939 -1436.09
Point: 143.243 -1431.53
Point: 116.984 -1415.54
Point: 91.5844 -1404.07
Point: 66.7546 -1396.15
Point: 42.2065 -1386.79
Point: 18 -1380
Segment: 2737.27 142.511 18 1246 1.17403 1161.81 88
Segment: 1833.97 -2089.04 18 -1380 -1.94753 1266.96 42

12153
Line: 1.18345 1161.14
Line: -1.94741 1266.38
Point: 18 1247
Point: 39.4665 1229.81
Point: 60.8566 1227.25
Point: 81.6929 1215.33
Point: 102.684 1211.04
Point: 123.633 1207.39
Point: 143.748 1196.41
Point: 163.512 1185.1
Point: 184.173 1182.38
Point: 202.593 1165.47
Point: 222.905 1162.07
Point: 243.727 1161.26
Point: 262.712 1151.28
Point: 282.542 1145.86
Point: 302.5 1141.07
Point: 320.559 1129.17
Point: 339.944 1122.75
Point: 359.49 1116.96
Point: 379.241 1111.79
Point: 395.333 1095.86
Point: 414.059 1088.16
Point: 432.99 1081.09
Point: 452.169 1074.61
Point: 471.248 1067.79
Point: 489.408 1058.8
Point: 508.237 1051.32
Point: 531.333 1052.49
Point: 545.083 1034.46
Point: 562.587 1024.22
Point: 585.227 1023.31
Point: 602.5 1012.38
Point: 619.564 1001.17
Point: 641.185 997.305
Point: 658.496 986.277
Point: 680.084 981.58
Point: 699.409 973.153
Point: 720.991 967.584
Point: 737.771 955.168
Point: 759.872 949.553
Point: 782.624 944.232
Point: 799.63 931.51
Point: 820.36 923.01
Point: 845.715 919.27
Point: 858.904 901.759
Point: 881.46 894.139
Point: 904.005 886.005
Point: 926.526 877.354
Point: 955.595 874.322
Point: 977.4 863.848
Point: 1005.16 858.125
Point: 1023.05 843.337
Point: 1057.04 841.401
Point: 1074.72 825.602
Point: 1100.95 816.061
Point: 1124.74 804.09
Point: 1147.61 790.962
Point: 1176.99 781.752
Point: 1206.4 771.754
Point: 1229.86 757.255
Point: 1257.46 744.745
Point: 1291.06 735
Point: 1324.68 724.306
Point: 1353.9 710.31
Point: 1383.02 695.513
Point: 1421.92 684.736
Point: 1452.69 669.005
Point: 1483.33 652.406
Point: 1523.03 638.845
Point: 1559.91 622.971
Point: 1596.68 606
Point: 1637.09 589.301
Point: 1684 573.651
Point: 1732.75 557.158
Point: 1778.56 538.256
Point: 1825.17 518.198
Point: 1871.61 496.674
Point: 1927.54 476.102
Point: 1984.28 453.951
Point: 2041.79 430.169
Point: 2098.07 404.324
Point: 2162.91 378.206
